Phase-Out:,Net-zero:,Retro-fitting:,Light-weighting:,Modal shift:,Scrap age:,Regulated EV manufacture:,Modal shift rate (years):,Cumulative Electric Emissions,Cumulative Tailpipe Emissions,Cumulative WTT Emissions,Cumulative EV Production Emissions,Cumulative ICE Production Emissions,Cumulative Conversion Production Emissions,Cumulative Electric Energy,Cumulative Tailpipe Energy,Cumulative WTT Energy,Cumulative EV Production Energy,Cumulative ICE Production Energy,Cumulative Conversion Production Energy
2025,2020,0.2,840,-50,10,1,5,3.948584415678005,27.622116849662074,7.466268642914901,12.684154689818325,1.0667552547583332,2.491672535788334,215396840050.0768,421173892640.1411,96632488365.13667,245335104000.0,25604020000.0,49587682000
2025,2020,0.2,840,-50,10,1,5,4.153816446778006,27.622116849662074,7.466268642914901,13.319355716690824,1.0667552547583332,2.491672535788334,226615830886.3339,421173892640.1411,96632488365.13667,257595272000.0,25604020000.0,49587682000
2025,2020,0.2,840,-52,10,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025,2020,0.2,840,-52,10,1,5,0.004234121090406635,3.6318299281483157,0.9910998567761419,0.0080405193275,0.3537135844724997,0.1104342398133333,231457855.08368894,55621776770.62804,12576530095.61778,155192000.0,8489754000.0,2197792000
2025,2020,0.2,840,-52,10,1,5,0.010003124989653892,7.219235184073941,1.9683262642841277,0.016081038655,0.4660036112891664,0.14494493975499995,547811691.2779337,110517693793.76102,25036841875.047848,310384000.0,11184914000.0,2884602000
2025,2020,0.2,840,-52,10,1,5,0.019101050012565644,10.737448874813907,2.92458180681993,0.07550334514500001,0.6175951474916664,0.20706419964999992,1044668945.5532284,164299640469.1373,37285695657.15328,1527560000.0,14823380000.0,4120860000
2025,2020,0.2,840,-52,10,1,5,0.033115661403265786,13.798744809481057,3.7544470100618756,0.2442250234666666,0.7748011850349998,0.2898898795099999,1809051253.796763,211039647098.1567,47966576536.318726,4901184000.0,18596604000.0,5769204000
2025,2020,0.2,840,-52,10,1,5,0.054173705920140175,16.38786844180777,4.45422159817069,0.5704891895849996,0.9320072225783332,0.4072262593116665,2956441086.824027,250516112088.01578,57037211848.6843,11362408000.0,22369828000.0,8104358000
2025,2020,0.2,840,-52,10,1,5,0.07961864425902462,18.54410564015693,5.035483267468716,0.924142812439166,1.0218392440316666,0.5107583591366665,4335439639.249074,283352972999.40564,64597744288.22033,18305448000.0,24525956000.0,10164788000
2025,2020,0.2,840,-52,10,1,5,0.10949378563230305,20.277244811303962,5.501469896579569,1.454817088054165,1.0218392440316666,0.6211925989499998,5938025409.33825,309714869249.3769,70679685882.46304,28548120000.0,24525956000.0,12362580000
2025,2020,0.2,840,-52,10,1,5,0.1430673025403939,21.61620984736475,5.860600280422705,2.0256939603066644,1.0218392440316666,0.7385289787516665,7747465398.424938,330058435690.2557,75389681057.24835,39566752000.0,24525956000.0,14697734000
2025,2020,0.2,840,-52,10,1,5,0.18580984948598683,22.87400415141555,6.197362476010335,2.5724492745766634,1.0218392440316666,0.8489632185649998,10057340771.546608,349153218007.9719,79819649777.72084,50119808000.0,24525956000.0,16895526000
2025,2020,0.2,840,-52,10,1,5,0.2395259690287086,24.03894545306676,6.508837745512812,3.1915692627941628,1.0218392440316666,0.9801038783433331,12966233079.14064,366827299918.78925,83922061293.92616,62069592000.0,24525956000.0,19505404000
2025,2020,0.2,840,-52,10,1,5,0.30783544455953965,25.084525097763105,6.788159388151123,3.9956211955441616,1.0218392440316666,1.1457552380633331,16671961107.8923,382684246262.9651,87609752954.76161,77588792000.0,24525956000.0,22802092000
2025,2020,0.2,840,-52,10,1,5,0.40050204620473695,25.931691598767564,7.014242820414074,5.322306884581663,1.0218392440316666,1.428742977585,21708198357.25678,395526060485.42834,90600387091.54741,103195472000.0,24525956000.0,28433934000
2025,2020,0.2,840,-52,10,1,5,0.5161506958151137,26.596726882477146,7.191623764479868,6.472101148414162,1.0218392440316666,1.6703178771766667,27999707573.368362,405604505931.048,92962424787.42946,125387928000.0,24525956000.0,33241604000
2025,2020,0.2,840,-52,10,1,5,0.6576928519762067,27.05418502533468,7.313575341467298,7.702300605521662,1.0218392440316666,1.9325991967333336,35706538768.88637,412535519618.37134,94604002807.73206,149132304000.0,24525956000.0,38461360000
2025,2020,0.2,840,-52,10,1,5,0.8258269486426137,27.29325078303167,7.377511208910908,8.860135388681663,1.0218392440316666,2.181076236313334,44866314360.400314,416162953561.27484,95465797004.42633,171479952000.0,24525956000.0,43406392000
2025,2020,0.2,840,-52,10,1,5,1.0210789630718982,27.306883444926026,7.3813818750620985,9.94560549789416,1.0218392440316666,2.408846855928334,55507587106.630394,416375648332.49695,95514289765.11482,192430872000.0,24525956000.0,47939338000
2025,2020,0.2,840,-52,10,1,5,1.218364416500294,27.306883444926026,7.3813818750620985,9.94560549789416,1.0218392440316666,2.408846855928334,66277818309.437454,416375648332.49695,95514289765.11482,192430872000.0,24525956000.0,47939338000
