,Count,Phase-Out:,Net-zero:,Retro-fitting:,Light-weighting:,Modal shift:,Scrap age:,Regulated EV manufacture:,Modal shift rate (years):,Cumulative Electric Emissions,Cumulative Tailpipe Emissions,Cumulative WTT Emissions,Cumulative EV Production Emissions,Cumulative ICE Production Emissions,Cumulative Conversion Production Emissions,Cumulative Electric Energy,Cumulative Tailpipe Energy,Cumulative WTT Energy,Cumulative EV Production Energy,Cumulative ICE Production Energy,Cumulative Conversion Production Energy
0,0,2025,2020,0.2,840,-90,10,1,9,0.8286577426348427,25.944368965697013,7.019369802445688,5.187639688058327,0.12351902949833335,1.1250488180983331,45272926092.760086,395763553984.113,90464781703.5272,100221552000.0,2964676000.0,22390006000
0,0,2025,2020,0.2,840,-50,10,1,11,4.285013646817865,31.62143308103236,8.540159743780784,13.319355716690824,1.0667552547583332,2.491672535788334,233715691001.08112,481969083326.2112,110691463873.79814,257595272000.0,25604020000.0,49587682000
0,0,2025,2020,0.2,840,-52,10,1,11,4.112110203953869,31.4891276078132,8.504273799461634,13.001002842344155,1.0218392440316666,2.408846855928334,224296651731.6206,479948512706.0102,110215076531.51262,251403832000.0,24525956000.0,47939338000
0,0,2025,2020,0.2,840,-54,10,1,11,3.944812014598444,31.320173460849325,8.45865295419542,12.656894460638322,0.9544652279416667,2.346727596033334,215171027463.58078,477373584924.0324,109606163375.74915,244738696000.0,22908860000.0,46703080000
0,0,2025,2020,0.2,840,-56,10,1,11,3.7724352429477,31.185449853980558,8.42163260051655,12.322460547636654,0.909549217215,2.270804056161667,205776973823.31467,475303647001.2611,109123693826.70256,238236872000.0,21830796000.0,45192098000
0,0,2025,2020,0.2,840,-58,10,1,11,3.599299335460244,31.05365575734062,8.385480909117224,11.888272503951654,0.8590187051475001,2.19488051629,196361176071.74692,473280373902.6348,108652136222.58907,229856504000.0,20617974000.0,43681116000
0,0,2025,2020,0.2,840,-60,10,1,11,3.4276112133915273,30.908702819471895,8.346192808206602,11.373679266991653,0.802873691739167,2.139663396383334,187025479279.1726,471067386234.1477,108130980246.31264,219924216000.0,19270394000.0,42582220000
0,0,2025,2020,0.2,840,-62,10,1,11,3.255247730612462,30.770875285111533,8.30846674849463,10.843004991376654,0.7523431796716669,2.0775441364883336,177650796686.32874,468953584846.1462,107637955768.71497,209681544000.0,18057572000.0,41345962000
0,0,2025,2020,0.2,840,-64,10,1,11,3.0850661375972743,30.618737182326072,8.267718813449575,10.317232563891652,0.7018126676041668,1.9947184566283331,168373289498.4569,466643576027.6012,107087565086.49983,199463232000.0,16844750000.0,39697618000
0,0,2025,2020,0.2,840,-66,10,1,11,2.9137611604083773,30.475350604690615,8.228496329361086,9.786558288276654,0.6512821555366669,1.9187949167566665,159037924324.7346,464445172798.8801,106575025632.84047,189220560000.0,15631928000.0,38186636000
0,0,2025,2020,0.2,840,-68,10,1,11,2.7432698120085357,30.325456936659975,8.18740732419755,9.28163952002082,0.6007516434691669,1.8428713768849998,149743925593.63593,462144753348.9398,106038933106.2816,179451584000.0,14419106000.0,36675654000
0,0,2025,2020,0.2,840,-70,10,1,11,2.5717342999647714,30.180949947905884,8.148496463069055,8.759005763733322,0.5502211314016668,1.7669478370133331,140391787284.01425,459945237356.1114,105519018930.6843,169364104000.0,13206284000.0,35164672000
