Policies,Emissions,Energy
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 20, 'Scrap age:', 10, 'Regulated EV manufacture:', 1)",93.95946353,2.02164E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 0, 'Scrap age:', 20, 'Regulated EV manufacture:', 0)",122.2125639,1.8436E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 0, 'Scrap age:', 20, 'Regulated EV manufacture:', 1)",102.1032956,1.83618E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 0, 'Scrap age:', 18, 'Regulated EV manufacture:', 0)",118.0378159,1.81279E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 0, 'Scrap age:', 18, 'Regulated EV manufacture:', 1)",96.87388795,1.80492E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 0, 'Scrap age:', 16, 'Regulated EV manufacture:', 0)",115.3250788,1.79822E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 0, 'Scrap age:', 16, 'Regulated EV manufacture:', 1)",92.74394505,1.78963E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 0, 'Scrap age:', 14, 'Regulated EV manufacture:', 0)",113.7199011,1.79759E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 0, 'Scrap age:', 14, 'Regulated EV manufacture:', 1)",89.66788896,1.78801E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 0, 'Scrap age:', 12, 'Regulated EV manufacture:', 0)",112.257284,1.80251E+12
